日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2021-01-06,20727174.0,1886172834.0,91.0,91.0,91.0,91.0,X0.00,7664.0
2021-01-07,53644385.0,4664606670.0,91.2,91.2,83.0,83.8,-7.20,31740.0
2021-01-08,15402716.0,1304446193.0,84.5,85.8,83.4,84.5,+0.70,10442.0
2021-01-11,11294113.0,941685354.0,84.9,85.0,82.1,82.8,-1.70,7804.0
2021-01-12,20385298.0,1617759568.0,83.2,83.3,77.0,77.4,-5.40,13772.0
2021-01-13,11784326.0,946782388.0,77.8,81.7,77.8,80.5,+3.10,7590.0
2021-01-14,7745646.0,634552094.0,80.8,82.7,80.1,82.3,+1.80,5154.0
2021-01-15,8609004.0,695511748.0,82.8,82.8,79.4,79.9,-2.40,5360.0
2021-01-18,11822902.0,963615085.0,79.8,83.5,77.7,82.3,+2.40,7236.0
2021-01-19,12277351.0,1024177537.0,82.4,84.2,82.3,84.0,+1.70,6896.0
2021-01-20,37235366.0,3235331783.0,85.5,90.2,84.5,85.0,+1.00,23020.0
2021-01-21,11752654.0,1011988268.0,86.5,87.4,85.1,85.2,+0.20,7706.0
2021-01-22,19270528.0,1685712680.0,86.4,88.6,86.1,88.3,+3.10,12353.0
2021-01-25,11340286.0,981017138.0,88.4,88.4,85.2,86.2,-2.10,7081.0
2021-01-26,9160855.0,777692325.0,86.5,87.1,83.7,83.8,-2.40,5913.0
2021-01-27,5492953.0,461645364.0,84.8,84.9,83.1,84.9,+1.10,3967.0
2021-01-28,11219286.0,930531761.0,83.0,83.9,82.3,83.1,-1.80,7334.0
2021-01-29,8701704.0,724938077.0,83.9,84.4,82.5,82.5,-0.60,5787.0
2021-02-01,8209925.0,664069687.0,82.8,82.8,80.2,80.8,-1.70,5302.0
2021-02-02,7340641.0,595906589.0,81.5,82.2,80.6,81.2,+0.40,4742.0
2021-02-03,5658761.0,456911011.0,81.6,81.7,80.2,80.4,-0.80,3559.0
2021-02-04,4196856.0,336884318.0,80.4,80.9,79.9,80.0,-0.40,2878.0
2021-02-05,4680487.0,378001959.0,80.9,81.5,80.3,80.6,+0.60,3182.0
2021-02-17,10655607.0,884652980.0,81.6,84.2,81.1,84.2,+3.60,6710.0
2021-02-18,7284057.0,612125041.0,83.8,85.0,83.4,83.8,-0.40,4797.0
2021-02-19,7720308.0,653279079.0,84.3,85.4,84.0,84.0,+0.20,4925.0
2021-02-22,10120157.0,864769923.0,85.1,86.6,84.6,85.2,+1.20,6530.0
2021-02-23,8308249.0,709842688.0,85.3,86.2,84.6,85.5,+0.30,5484.0
2021-02-24,8854328.0,760595068.0,85.9,86.6,85.3,85.5, 0.00,5866.0
2021-02-25,11536851.0,993137287.0,86.9,87.3,85.3,86.1,+0.60,6623.0
2021-02-26,8123988.0,691707492.0,85.0,85.8,84.5,85.8,-0.30,4946.0
2021-03-02,9160494.0,785883331.0,86.9,87.2,84.5,84.7,-1.10,6308.0
2021-03-03,34820663.0,3061926315.0,85.8,89.5,85.2,86.9,+2.20,20890.0
2021-03-04,21339490.0,1886172710.0,87.5,89.7,87.1,88.0,+1.10,13033.0
2021-03-05,12312026.0,1064075379.0,86.9,87.7,85.9,86.0,-2.00,7491.0
2021-03-08,15639002.0,1320415128.0,86.5,86.9,83.0,83.1,-2.90,10548.0
2021-03-09,7967448.0,654824098.0,83.0,83.5,81.1,82.3,-0.80,5832.0
2021-03-10,4951736.0,409377647.0,83.4,83.4,82.3,82.5,+0.20,3282.0
2021-03-11,3953982.0,329199530.0,83.2,83.8,82.9,83.8,+1.30,2968.0
2021-03-12,4161507.0,348256626.0,84.1,84.5,83.2,83.7,-0.10,2715.0
2021-03-15,7068634.0,599400322.0,83.8,85.6,83.7,84.7,+1.00,4010.0
2021-03-16,5494939.0,465714259.0,85.0,85.2,84.1,85.0,+0.30,3049.0
2021-03-17,7047231.0,601392253.0,85.4,86.4,84.7,84.8,-0.20,4366.0
2021-03-18,7576534.0,649945878.0,85.8,86.3,85.1,85.7,+0.90,4720.0
2021-03-19,13522847.0,1135804939.0,84.0,84.7,83.5,83.7,-2.00,7729.0
2021-03-22,6511997.0,544699887.0,83.9,84.5,82.9,84.5,+0.80,3654.0
2021-03-23,11000994.0,937477620.0,85.3,86.5,84.0,84.1,-0.40,6118.0
2021-03-24,8969753.0,747789185.0,84.2,84.8,82.8,83.1,-1.00,4724.0
2021-03-25,4110218.0,341764120.0,83.0,83.9,82.6,83.0,-0.10,2445.0
2021-03-26,3424489.0,286726126.0,83.3,84.3,83.1,84.3,+1.30,2149.0
2021-03-29,4838699.0,406623195.0,84.5,84.6,83.5,83.5,-0.80,3273.0
2021-03-30,5280481.0,439290502.0,83.8,84.0,83.0,83.0,-0.50,3357.0
2021-03-31,6398595.0,527321507.0,83.3,83.5,82.0,82.1,-0.90,4527.0
2021-04-01,7937061.0,649050007.0,82.4,82.6,81.5,81.7,-0.40,5437.0
2021-04-06,7324225.0,606507773.0,82.8,83.5,82.1,82.9,+1.20,4931.0
2021-04-07,7108998.0,588334457.0,83.3,83.5,82.2,82.7,-0.20,4209.0
2021-04-08,7444792.0,619320474.0,83.3,83.6,82.9,82.9,+0.20,4225.0
2021-04-09,16674437.0,1407596467.0,84.0,85.2,83.5,83.6,+0.70,9358.0
2021-04-12,12048723.0,1002453867.0,84.5,84.8,81.8,82.3,-1.30,7665.0
2021-04-13,7739576.0,634643706.0,82.1,82.5,81.6,81.6,-0.70,4898.0
2021-04-14,10561993.0,862434313.0,83.0,83.7,80.1,81.2,-0.40,6583.0
2021-04-15,3663605.0,299103900.0,81.7,82.2,80.8,82.2,+1.00,2317.0
2021-04-16,5708036.0,469366004.0,82.7,83.2,81.8,81.9,-0.30,3895.0
2021-04-19,11263316.0,942959765.0,83.2,84.5,82.5,84.0,+2.10,7137.0
2021-04-20,21082482.0,1812794239.0,85.0,87.0,84.6,86.0,+2.00,12366.0
2021-04-21,19654746.0,1663423110.0,86.8,87.0,83.3,83.4,-2.60,12020.0
